Program Time [s],data 0
741.792,2140
741.792,2215
741.792,2265
741.792,2269
741.792,2215
741.792,2140
741.792,2107
741.792,2104
741.792,2092
741.858,2143
741.858,2180
741.858,2147
741.858,2131
741.858,2141
741.858,2151
741.858,2130
741.858,2132
741.858,2165
741.858,2218
741.858,2190
741.925,2079
741.925,2063
741.925,2065
741.925,2091
741.925,2126
741.925,2103
741.925,2039
741.925,2022
741.925,2083
741.925,2127
741.925,2133
741.992,2084
741.992,2031
741.992,2019
741.992,2030
741.992,2053
741.992,2065
741.992,2104
741.992,2095
741.992,2125
741.992,2139
742.058,2221
742.058,2200
742.058,2195
742.058,2247
742.058,2301
742.058,2344
742.058,2343
742.058,2329
742.058,2341
742.058,2373
742.058,2477
742.125,2554
742.125,2570
742.125,2568
742.125,2581
742.125,2586
742.125,2555
742.125,2457
742.125,2352
742.125,2279
742.125,2205
742.125,2151
742.189,2091
742.189,2053
742.189,2043
742.189,2063
742.189,2106
742.189,2159
742.189,2168
742.189,2141
742.189,2102
742.189,1764
742.265,1869
742.265,1876
742.265,1837
742.265,1871
742.265,1933
742.265,1927
742.265,1893
742.265,1853
742.265,1832
742.265,1775
742.332,1774
742.332,1885
742.332,1947
742.332,1927
742.332,1897
742.332,1927
742.332,1935
742.332,1945
742.332,1913
742.332,1895
742.332,1869
742.399,1903
742.399,1994
742.399,2042
742.399,2055
742.399,1999
742.399,1967
742.399,1959
742.399,1973
742.399,2023
742.399,2045
742.399,2029
742.465,2030
742.465,2031
742.465,2071
742.465,2075
742.465,2027
742.465,2002
742.465,2008
742.465,2015
742.465,2037
742.465,1995
742.532,1919
742.532,1821
742.532,1677
742.532,1690
742.532,1749
742.532,1773
742.532,1759
742.532,1787
742.532,1799
742.532,1724
742.532,1631
742.599,1599
742.599,1599
742.599,1643
742.599,1656
742.599,1657
742.599,1591
742.599,1568
742.599,1583
742.599,1590
742.599,1598
742.599,1597
742.663,1591
742.663,1567
742.663,1575
742.663,1581
742.663,1584
742.663,1525
742.663,1447
742.663,1491
742.663,1609
742.663,1305
742.74,1253
742.74,1263
742.74,1260
742.74,1256
742.74,1225
742.74,1195
742.74,1230
742.74,1303
742.74,1395
742.74,1459
742.807,1468
742.807,1466
742.807,1451
742.807,1391
742.807,1368
742.807,1321
742.807,1263
742.807,1209
742.807,1132
742.807,1062
742.807,1005
742.874,1000
742.874,1019
742.874,1021
742.874,1042
742.874,1078
742.874,1113
742.874,1117
742.874,1101
742.874,1107
742.874,1127
742.874,1157
742.94,1179
742.94,1166
742.94,1157
742.94,1139
742.94,1124
742.94,1087
742.94,1053
742.94,1093
742.94,1173
742.94,1242
743.007,2026
743.007,1637
743.007,1261
743.007,1039
743.007,938
743.007,939
743.007,991
743.007,1056
743.007,1107
743.007,1117
743.007,1115
743.074,1139
743.074,1176
743.074,1251
743.074,1353
743.074,1439
743.074,1497
743.074,1513
743.074,1529
743.074,1547
743.074,1572
743.074,1614
743.141,1637
743.141,1627
743.141,1652
743.141,1679
743.141,1693
743.141,1708
743.141,1735
743.141,1753
743.141,1769
